date,USDCOP,SPX,USTTEN,XAU,EEM
2014-04-16,0.007101433,0.002419361,0.26129588,0.025393419,0.00539512
2014-04-23,0.0049696956,0.009490526,0.28451872,0.033992574,0.025229635
2014-04-30,0.016655806,0.003344693,0.41745508,0.96851647,0.022776624
2014-05-07,0.014053085,0.0068803392,0.45762196,0.98567593,0.0072582965
2014-05-14,0.010009223,0.00010158333,0.6940393,0.97504264,0.026401037
2014-05-21,0.0061391247,0.0070917327,0.722555,0.9853801,0.056305733
2014-05-28,0.008430076,0.00018655544,0.7454644,0.040921938,0.00685072
2014-06-04,0.0018024499,0.003407569,0.6237356,0.034160372,0.05393113
2014-06-11,0.0025110526,0.001316993,0.29284585,0.048586097,0.024621835
2014-06-18,0.016226763,0.014159488,0.5577894,0.026234748,0.020871704
2014-06-25,0.020134987,0.008471194,0.33112553,0.9637604,0.031696856
2014-07-02,0.9953564,0.9972523,0.2838745,0.9564087,0.025110127
2014-07-09,0.99397594,0.9931357,0.27292868,0.9535667,0.96908945
2014-07-16,0.9891166,0.99897206,0.3349114,0.03330655,0.012582592
2014-07-23,0.9859196,0.9929119,0.35960215,0.9952773,0.033511024
2014-07-30,0.9982382,0.0013423081,0.29931074,0.9625858,0.022306876
2014-08-06,0.9997906,0.010184212,0.31681022,0.97465944,0.03613503
2014-08-13,0.99828714,0.0008858176,0.64096713,0.98698944,0.008990457
2014-08-20,0.9968436,0.0093732085,0.49537903,0.95786566,0.9325702
2014-08-27,0.985449,0.98604786,0.5432745,0.9709533,0.96489555
2014-09-03,0.99383104,0.99832016,0.34375986,0.9897971,0.97327536
2014-09-10,0.9327428,0.99829143,0.28109053,0.90249723,0.9736642
2014-09-17,0.98611313,0.99356353,0.3065033,0.036944196,0.9790797
2014-09-24,0.9998765,0.99165326,0.31161344,0.03669936,0.95194644
2014-10-01,0.97686666,0.014711089,0.3603241,0.94954777,0.010820168
2014-10-08,0.99463236,0.019885754,0.66429234,0.99599,0.9934546
2014-10-15,0.9963605,0.0021797959,0.5444538,0.98826164,0.01733481
2014-10-22,0.97957397,0.010222627,0.33252385,0.9346446,0.019226111
2014-10-29,0.9832408,0.0029783086,0.5123608,0.9949532,0.04918102
2014-11-05,0.9985152,0.010164451,0.41741836,0.025501218,0.96678233
2014-11-12,0.96701014,0.9964838,0.40260494,0.03668879,0.9911362
2014-11-19,0.9679192,0.99619424,0.39075282,0.055020507,0.967198
2014-11-26,0.99148023,0.0037851196,0.6046339,0.97723514,0.99409467
2014-12-03,0.98855746,0.9995252,0.24755216,0.9867845,0.98302263
2014-12-10,0.9899856,0.9916306,0.3836617,0.98760116,0.95790535
2014-12-17,0.97668844,0.9921069,0.36212635,0.02143567,0.045878734
2014-12-24,0.9860935,0.9928392,0.3199468,0.04403025,0.03807985
2015-01-07,0.0198547,0.009316441,0.26252,0.014855496,0.020211633
2015-01-14,0.006212083,0.004912433,0.55047417,0.97379804,0.04507358
2015-01-21,0.99655825,0.0020923514,0.5197051,0.95202106,0.028933367
2015-01-28,0.9920237,2.6498703e-05,0.59591055,0.98191994,0.04299396
2015-02-04,0.99440384,0.010202629,0.6944572,0.9878369,0.9636165
2015-02-11,0.9710075,0.9930488,0.6419308,0.95737696,0.97684336
2015-02-18,0.99685067,0.99776983,0.49658808,0.98397845,0.96839213
2015-02-25,0.9872707,0.99517834,0.51798385,0.9518452,0.976225
2015-03-04,0.9947496,0.9977329,0.43727812,0.034342296,0.015733387
2015-03-11,0.029084938,0.00018432087,0.4471008,0.023263903,0.06713243
2015-03-18,0.003911803,0.0049017365,0.52724385,0.14316453,0.023293335
2015-03-25,0.007206727,1.4593063e-05,0.64264756,0.94869703,0.0075750113
2015-04-01,0.011834068,0.00028638216,0.6433079,0.07250533,0.0048461133
2015-04-08,0.0013802457,0.9876351,0.6070609,0.9811288,0.98269594
2015-04-15,0.0075733983,0.99126995,0.59645414,0.019400757,0.9725088
2015-04-22,0.0070768176,0.012693979,0.6268283,0.06681277,0.9734611
2015-04-29,0.9668745,0.00023977716,0.68732333,0.96745336,0.9740398
2015-05-06,0.9898085,0.001343048,0.67124265,0.9844588,0.9571737
2015-05-13,0.99641377,0.007935951,0.53050435,0.9881954,0.98819834
2015-05-20,0.99735105,0.9984097,0.74632907,0.9756443,0.97437817
2015-05-27,0.99937916,0.9921725,0.6731131,0.9927126,0.9755785
2015-06-03,0.9970722,0.9964483,0.69495845,0.96948,0.98892003
2015-06-10,0.9994863,0.9998518,0.44923702,0.9950788,0.99832875
2015-06-17,0.9925383,0.0003398889,0.66453713,0.99836653,0.99854493
2015-06-24,0.99736005,0.008164219,0.30280676,0.93031275,0.98664457
2015-07-01,0.98309386,0.00040822095,0.3625755,0.96984786,0.98742676
2015-07-08,0.9837949,0.0021114412,0.41426408,0.9931304,0.9721862
2015-07-15,0.9535313,0.9930421,0.25076586,0.92267585,0.97528744
2015-07-22,0.9993662,0.9995766,0.3147261,0.029281463,0.9742774
2015-07-29,0.9819748,0.9936999,0.37343985,0.069589354,0.97221047
2015-08-05,0.99111146,0.9990588,0.21356899,0.026292624,0.98460925
2015-08-12,0.9960368,0.9980106,0.7337586,0.98850036,0.9754048
2015-08-19,0.0120593,0.9945574,0.5171382,0.950013,0.0273324
2015-08-26,0.032137148,0.9883279,0.3638661,0.021561615,0.9452498
2015-09-02,0.012421586,0.9952186,0.22841862,0.9435221,0.9713093
2015-09-09,0.007258942,0.0040627723,0.20059402,0.006819639,0.04547119
2015-09-16,0.014842292,0.99754876,0.3291214,0.060921267,0.037065826
2015-09-23,0.0032828941,0.00056710537,0.40733105,0.033782143,0.034818664
2015-09-30,0.0008315373,6.1767416e-05,0.7032112,0.0546235,0.0047938433
2015-10-07,0.02108616,3.8230555e-06,0.65097326,0.99909663,0.009425581
2015-10-14,0.99387324,0.00027210455,0.70041394,0.98340905,0.98823893
2015-10-21,0.9764703,7.815374e-06,0.76167744,0.98037326,0.94492304
2015-10-28,0.97861516,0.9829875,0.47137943,0.95605594,0.9787259
2015-11-04,0.9903244,0.99945325,0.55339295,0.9747546,0.9657796
2015-11-18,0.9968341,0.9997272,0.54952127,0.020356677,0.992188
2015-11-25,0.98756325,0.99989843,0.6046318,0.9506235,0.99357045
2015-12-02,0.99521893,0.9999306,0.5183894,0.0055951728,0.9846038
2015-12-09,0.009207538,0.9999361,0.24895741,0.073393546,0.9783102
2015-12-16,0.0013457988,0.99614054,0.3105631,0.055789623,0.97723365
2015-12-23,0.9779384,0.99775225,0.38940498,0.050211225,0.99691427
2015-12-30,0.9952158,0.9959403,0.23827526,0.0142437145,0.9789161
2016-01-06,0.98199606,0.9949944,0.34310177,0.02989781,0.9611015
2016-01-13,0.9670634,0.9917092,0.3928556,0.066906005,0.04787165
2016-01-20,0.0049809627,0.0016092967,0.33376127,0.04508921,0.007966919
2016-01-27,0.0017698144,0.00014352197,0.2614814,0.0026156912,0.013480293
2016-02-03,0.003660923,0.00018257347,0.2779091,0.010198916,0.009468199
2016-02-10,0.009461117,0.00919094,0.55414194,0.024518201,0.016662978
2016-02-17,0.0011873144,0.0035088346,0.62063205,0.014037535,0.017496979
2016-02-24,0.0002743848,0.0046932735,0.66291064,0.9373596,0.032197624
2016-03-02,0.008731626,8.285707e-05,0.32761416,0.96688455,0.017543912
2016-03-09,0.015453174,0.0010078138,0.3441338,0.95002204,0.014009678
2016-03-16,0.0094682565,0.00027118745,0.25012785,0.9801688,0.01023075
2016-03-23,0.011764874,3.629725e-06,0.36677545,0.06440804,0.019623963
2016-03-30,0.028439056,0.0016409156,0.63446355,0.018781055,0.014227092
2016-04-06,0.01418483,0.99974304,0.7441502,0.085476235,0.9677336
2016-04-13,0.0147697525,0.98480463,0.6091498,0.110254385,0.92802817
2016-04-20,0.9893243,0.9864291,0.5091792,0.09885403,0.9912633
2016-04-27,0.9878241,0.9962723,0.60001844,0.98402727,0.9772315
2016-05-04,0.99901795,0.0046573533,0.63853276,0.95748484,0.022488892
2016-05-11,0.015224346,0.00033476815,0.31123334,0.97390467,0.0097043
2016-05-18,0.015057211,0.0032067467,0.34841597,0.062001072,0.015549355
2016-05-25,0.011885501,0.99998856,0.24190201,0.012313202,0.018764079
2016-06-01,0.014800717,0.99999166,0.413786,0.008913941,0.045072224
2016-06-08,0.99420434,0.9999807,0.46936712,0.05347107,0.9702966
2016-06-15,0.011682688,0.0042233397,0.3542106,0.044497475,0.028570028
2016-06-22,0.028706435,0.00012682177,0.28604,0.0440493,0.013196921
2016-06-29,0.98372746,0.0012402199,0.34703994,0.022739708,0.015085318
2016-07-06,0.99731284,0.007461385,0.6616282,0.99878937,0.03141957
2016-07-13,0.008751628,0.01797581,0.6977028,0.026848206,0.01605458
2016-07-27,0.0044818125,0.007555596,0.6191076,0.97589135,0.011207642
2016-08-03,0.01027778,4.5724642e-05,0.54436374,0.92156965,0.010943463
2016-08-10,0.006083938,1.0688005e-05,0.5833801,0.95893794,0.0032157474
2016-08-17,0.9908194,0.99992096,0.6227659,0.9761219,0.98720527
2016-08-24,0.0485262,0.9991848,0.50103337,0.024946077,0.009964355
2016-08-31,0.031612746,0.004218848,0.29495275,0.0073355627,0.0258936
2016-09-07,0.98554903,0.9971654,0.61568725,0.9760834,0.97089684
2016-09-14,0.00016962961,0.0028232464,0.5593465,0.9453612,0.004269416
2016-09-21,0.9970277,0.9964342,0.5680265,0.98939663,0.95626426
2016-09-28,0.9847943,0.9892134,0.52671677,0.98087305,0.9798409
2016-10-05,0.9855656,0.9954911,0.51678914,0.020513872,0.952055
2016-10-12,0.9928831,3.8999446e-05,0.6376428,0.078206666,0.99085885
2016-10-19,0.9807164,4.5491745e-07,0.6624978,0.9447601,0.9568578
2016-10-26,0.989838,2.7070852e-05,0.6715766,0.98208874,0.98245347
2016-11-02,0.015845718,7.6772194e-05,0.6750255,0.94305044,0.95474553
2016-11-09,0.00041414157,0.0047989525,0.6489767,0.9570218,0.99282795
2016-11-16,0.000875077,1.6231375e-05,0.65445644,0.9247387,0.044874627
2016-11-23,0.028385004,0.0024362933,0.5552794,0.96142584,0.948132
2016-11-30,0.016658617,0.0056643565,0.5868935,0.947968,0.9650065
2016-12-07,0.009383193,1.2128473e-06,0.59258944,0.9481895,0.9828477
2016-12-14,0.012747451,0.0007594412,0.6202936,0.042037945,0.0167453
2016-12-21,0.0045224945,0.0035009307,0.5693481,0.010674438,0.008800451
2016-12-28,0.0006528203,0.00653679,0.62747175,0.0537263,0.017464072
2017-01-04,0.0030242126,0.010034059,0.6730573,0.004897891,0.004046688
2017-01-11,0.0074136243,0.0078340955,0.5326595,0.02794432,0.008125546
2017-01-18,4.0979726e-06,0.00934104,0.7054615,0.009286763,0.0105922
2017-01-25,0.00039365832,0.006692163,0.56422204,0.00901132,0.021673324
2017-02-01,0.94887936,0.0013563733,0.39725214,0.023220224,0.013374948
2017-02-08,0.9994388,0.0077275457,0.75855297,0.99474066,0.04359369
2017-02-15,0.9910115,0.006635409,0.51463425,0.9754875,0.0199534
2017-02-22,0.99505204,0.99781203,0.27269456,0.013512888,0.007530601
2017-03-01,0.028996576,0.99893683,0.35912925,0.059463546,0.042882424
2017-03-08,0.03517757,0.9950439,0.30413538,0.08773665,0.047435805
2017-03-15,0.01861079,0.9883067,0.32486483,0.02345263,0.98385966
2017-03-22,0.007196135,0.99128354,0.33341187,0.028821947,0.93490946
2017-03-29,0.98722017,0.012049908,0.30489525,0.018515976,0.012424411
2017-04-05,0.98233664,3.5700489e-06,0.5455821,0.9913145,0.010173003
2017-04-12,0.99820566,2.3376066e-05,0.689951,0.9921754,0.011476697
2017-04-19,0.9949067,5.2752086e-05,0.5955335,0.9789996,0.0023121203
2017-04-26,0.040270947,0.0147370305,0.39505926,0.9943798,0.01135447
2017-05-03,0.0038999189,4.7910626e-06,0.5341004,0.07501099,0.022281853
2017-05-10,0.00038609508,0.0014217787,0.36165774,0.014296447,0.0062563843
2017-05-17,0.9965731,7.04798e-06,0.54797477,0.99168515,0.004816717
2017-05-24,0.99052316,0.0058482746,0.49510187,0.984735,0.9792635
2017-05-31,0.9896521,0.0069697592,0.7711792,0.9400042,0.008658091
2017-06-07,0.9946731,0.9991855,0.73851,0.9643289,0.9898919
2017-06-14,0.9968279,0.00021597701,0.69195724,0.9803374,0.022172304
2017-06-21,0.012773791,0.0078062764,0.70692074,0.9643965,0.008253816
